normalized_item,counterparty,doc_type,doc_date,unit_price,quantity,uom,source_file,doc_number
85/34/300 ROYAL WARP DYED,SARONG FABRICS,TAX_INVOICE,2026-01-04,258.5,177.78,KGS,doc_158.pdf,P29130
85/34/300 ROYAL WARP DYED,SIDANA SILK MILLS PVT. LTD.,TAX_INVOICE,2026-01-04,251.0,85.33,KGS,doc_159.pdf,P29138
70/72/2/120 NYLON MICRO,SRI VIGNESH TEXTILES,TAX_INVOICE,2026-01-04,470.0,1.0,KGS,doc_052.pdf,P29137
70/68/2/140 NYLON TWT DYED,PREMCO GLOBAL LIMITED,TAX_INVOICE,2026-01-01,491.0,4.0,KGS,doc_105.pdf,P29102
70/68/2/140 NYLON TWT DYED,KOHINOOR ELASTICS PVT. LTD.,TAX_INVOICE,2026-01-01,459.0,94.32,KGS,doc_155.pdf,P29104
70/68/2/140 NYLON TWT DYED,KOHINOOR ELASTICS PVT. LTD.,TAX_INVOICE,2026-01-01,459.0,8.0,KGS,doc_155.pdf,P29104
70/68/2/140 NYLON TWT DYED,KOHINOOR ELASTICS PVT. LTD.,TAX_INVOICE,2026-01-01,459.0,19.425,KGS,doc_155.pdf,P29104
70/68/2/140 NYLON TWT DYED,KOHINOOR ELASTICS PVT. LTD.,TAX_INVOICE,2026-01-03,469.0,70.175,KGS,doc_061.pdf,P29113
70/68/2/140 NYLON TWT DYED,KOHINOOR ELASTICS PVT. LTD.,TAX_INVOICE,2026-01-03,459.0,44.78,KGS,doc_061.pdf,P29113
70/68/2/140 NYLON TWT DYED,KOHINOOR ELASTICS PVT. LTD.,TAX_INVOICE,2026-01-03,459.0,37.63,KGS,doc_061.pdf,P29113
70/68/2/140 NYLON TWT DYED,KOHINOOR ELASTICS PVT. LTD.,TAX_INVOICE,2026-01-03,459.0,356.86,KGS,doc_136.pdf,P29117
70/68/2/140 NYLON TWT DYED,PREMCO GLOBAL LIMITED,TAX_INVOICE,2026-01-03,484.0,3.0,KGS,doc_156.pdf,P29112
70/68/2/140 NYLON TWT DYED,PREMCO GLOBAL LIMITED,TAX_INVOICE,2026-01-03,484.0,55.51,KGS,doc_156.pdf,P29112
70/68/2/140 NYLON TWT DYED,PREMCO GLOBAL LIMITED,TAX_INVOICE,2026-01-04,484.0,3.0,KGS,doc_117.pdf,P29126
70/68/2/140 NYLON TWT DYED,PREMCO GLOBAL LIMITED,TAX_INVOICE,2026-01-04,484.0,98.94,KGS,doc_117.pdf,P29126
70/68/2/140 NYLON TWT DYED,PREMCO GLOBAL LIMITED,TAX_INVOICE,2026-01-04,484.0,49.85,KGS,doc_117.pdf,P29126
70/68/2/140 NYLON TWT DYED,PREMCO GLOBAL LIMITED,TAX_INVOICE,2026-01-04,484.0,2.0,KGS,doc_140.pdf,P29124
70/68/2/140 NYLON TWT DYED,PREMCO GLOBAL LIMITED,TAX_INVOICE,2026-01-04,484.0,1.0,KGS,doc_140.pdf,P29124
70/68/2/140 NYLON TWT DYED,PREMCO GLOBAL LIMITED,TAX_INVOICE,2026-01-04,484.0,48.205,KGS,doc_146.pdf,P29127
70/68/2/140 NYLON TWT DYED,PREMCO GLOBAL LIMITED,TAX_INVOICE,2026-01-04,484.0,3.0,KGS,doc_157.pdf,P29125
70/68/2/140 NYLON TWT DYED,PREMCO GLOBAL LIMITED,TAX_INVOICE,2026-01-05,484.0,64.32,KGS,doc_055.pdf,P29144
70/68/2/140 NYLON TWT DYED,PREMCO GLOBAL LIMITED,TAX_INVOICE,2026-01-05,484.0,7.0,KGS,doc_055.pdf,P29144
70/68/2/140 NYLON TWT DYED,PREMCO GLOBAL LIMITED,TAX_INVOICE,2026-01-05,484.0,68.36,KGS,doc_055.pdf,P29144
70/68/2/140 NYLON TWT DYED,PREMCO GLOBAL LIMITED,TAX_INVOICE,2026-01-05,484.0,3.0,KGS,doc_055.pdf,P29144
70/68/2/140 NYLON TWT DYED,"TULIP ELASTICS PVT.LTD.,",TAX_INVOICE,2026-01-05,464.0,20.635,KGS,doc_084.pdf,P29148
70/68/2/140 NYLON TWT DYED,"TULIP ELASTICS PVT.LTD.,",TAX_INVOICE,2026-01-05,480.0,19.405,KGS,doc_084.pdf,P29148
